HeroName,Aliases,Alignment,Combat,Durability,EyeColor,FullName,Gender,HairColor,Height,Intelligence,Nicknames,Placeofbirth,Power,Publisher,Race,Category,SkinColor,Speed,Strength,Weight,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
Mephisto,"Satan; Mephistopheles, Lord of Evil, Prince of Devils, Prince of Lies, Lord of the Lower Depths, Satan, Beelzebub, the Devil, Maya, Lucifer, Nick Scratch, the Friend, Legion, numerous others; impersonated Don Blake, many others",bad,42,95,White,-,male,Black,6'6 // 198 cm,88,-,Hell,100,Marvel Comics,-,Unknown,,35,85,310 lb // 140 kg,0,0,0,,,,,,,,
Thundra,-,good,54,64,Green,Thundra,female,Red,7'2 // 218 cm,38,-,-,26,Marvel Comics,-,Unknown,,32,81,350 lb // 158 kg,0,0,0,,,,,,,,
Winter-Soldier,"Bucky, Captain America",good,84,65,Brown,James Buchanan Barnes,male,Brown,5'9 // 175 cm,56,-,-,60,Marvel Comics,Human,Human,,35,32,260 lb // 117 kg,0,0,0,,,,,,,,
Shang-Chi,The Master of Kung Fu; The Rising and Advancing of the Spirit; Chinaman (by Jack Tarr),good,100,50,Brown,Shang-Chi,male,Black,5'10 // 178 cm,63,-,-,29,Marvel Comics,Human,Human,,30,12,175 lb // 79 kg,0,0,0,,,,,,,,
Stardust,Entity Lambda-Zero,good,85,110,-,-,male,-,- // 0 cm,88,-,-,100,Marvel Comics,-,Unknown,,100,85,- lb // 0 kg,0,0,0,,,,,,,,
Wyatt-Wingfoot,-,good,56,1,Brown,Wyatt Wingfoot,male,Black,6'5' // 196 cm,10,-,"Keewazi Reservation, Oklahoma",1,Marvel Comics,-,Unknown,,12,10,260 lb // 117 kg,35.590051,-97.486815,1,state,,,,OK,,,US
Toxin,"Eddie, Sister Edwina, ""Ed"", Edwin Brock, Venom, Lethal Protector, 998th, Anti-Venom, White Venom",good,70,85,Black,Edward Charles Allan Brock,male,Blond,6'3 // 191 cm,75,-,"San Francisco, California",97,Marvel Comics,Symbiote,Alien,,42,80,260 lb // 117 kg,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US
3-D-Man,-,good,52,32,Brown,Charles Chandler,male,Grey,6'2 // 188 cm,50,Chuck,-,25,Marvel Comics,-,Unknown,,43,31,200 lb // 90 kg,0,0,0,,,,,,,,
Magneto,"The Creator, Erik Magnus Lehnsherr, Michael Xavier, White Pilgrim, Erik the RedThe Master of Magnetism",bad,80,84,Grey,Erik Magnus Lensherr,male,White,6'2 // 188 cm,88,-,"Unrevealed, probably somewhere in Northern Europe",91,Marvel Comics,Mutant,Mutant,,27,80,190 lb // 86 kg,39.966706,-86.258882,0.53,place,,,Northern Meadows,IN,Boone County,46077,US
Man-Wolf,"Stargod, Vanwolf, Skywolf",good,70,42,Brown,John Jameson,male,Auburn,6'2' // 188 cm,63,-,"New York, New York",45,Marvel Comics,-,Unknown,,35,44,200 lb // 90 kg,40.68863,-74.018244,1,place,,,New York,NY,New York County,10004,US
Jennifer-Kale,Wendy the Good Little Witch,good,72,42,Blue,Jennifer Kale,female,Blond,5'6 // 168 cm,75,-,"Citrusville, Florida",69,Marvel Comics,-,Unknown,,35,10,122 lb // 55 kg,0,0,0,,,,,,,,
Juggernaut,"Kuurth, Captain Universe",neutral,70,100,Blue,Cain Marko,male,Red,9'5 // 287 cm,44,-,"Berkeley, California",85,Marvel Comics,Human,Human,,42,100,1900 lb // 855 kg,37.860576,-122.29673,1,place,,,Berkeley,CA,Alameda County,94701,US
Evil-Deadpool,Dreadpool,bad,100,100,White,-,male,Red,6'2 // 188 cm,69,-,-,100,Marvel Comics,Mutant,Mutant,,50,32,210 lb // 95 kg,0,0,0,,,,,,,,
Ajax,"""Frankie"", the A-Man, the Attending",bad,55,80,Brown,Francis,male,Black,6'4 // 193 cm,56,-,-,34,Marvel Comics,Cyborg,Robot,,35,48,200 lb // 90 kg,0,0,0,,,,,,,,
Tempest,-,good,60,28,Brown,Angel Salvadore Bohusk,female,Black,5'4 // 163 cm,38,-,-,62,Marvel Comics,-,Unknown,,45,10,121 lb // 54 kg,0,0,0,,,,,,,,
Spider-Woman,"Arachne, Ariadne Hyde, Dark Angel, Dark Angel of San Francisco",good,70,60,Green,Jessica Drew,female,Black,5'10 // 178 cm,56,-,"London, England",68,Marvel Comics,Human,Human,,42,42,130 lb // 59 kg,34.54426,-91.96903,1,place,,,England,AR,Lonoke County,72046,US
Darkhawk,"Bucket-Head, Edge-Man, Powell",good,64,70,Brown,Christopher Powell,male,Brown,6'1 // 185 cm,50,-,"Queens, New York",74,Marvel Comics,Human,Human,,33,32,180 lb // 81 kg,40.752183,-73.929164,1,street_center,,Queens St,Long Island City,NY,Queens County,11101,US
Ariel,-,good,28,14,Purple,Ariel,female,Pink,5'5 // 165 cm,50,-,-,94,Marvel Comics,-,Unknown,,12,10,130 lb // 59 kg,0,0,0,,,,,,,,
Havok,"Mutant X, Goblin Prince",good,45,60,Blue,Alexander Summers,male,Blond,6' // 183 cm,63,Alex,"Honolulu, Hawaii",71,Marvel Comics,Mutant,Mutant,,25,10,175 lb // 79 kg,24.859832,-168.021815,1,place,,,Honolulu,HI,Honolulu County,96801,US
Silk,-,good,65,70,Brown,-,female,Black,- // 0 cm,75,-,-,71,Marvel Comics,Human,Human,,71,48,- lb // 0 kg,0,0,0,,,,,,,,
Meltdown,"Boom-Boom, Boomer, Meltdown, Mutate #35, Time Bomb, Nancy Forrester",good,64,42,Blue,Tabitha Smith,female,Blond,5'5 // 165 cm,38,-,"Roanoke, Virginia",62,Marvel Comics,-,Unknown,,12,10,120 lb // 54 kg,37.274175,-79.95786,1,place,,,Roanoke,VA,Roanoke city,24001,US
Wolfsbane,"Grimfang, Mutate #490",good,42,42,Green,Rahne Sinclair,female,Auburn,12' // 366 cm,38,-,"Somewhere in Ross and Cromarty, Scotland",26,Marvel Comics,-,Unknown,,35,16,1050 lb // 473 kg,38.91283,-86.90389,1,place,,,Scotland,IN,Greene County,47457,US
Bishop,Archbishop,good,65,75,Brown,Lucas Bishop,male,No Hair,6'6 // 198 cm,63,-,A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth,100,Marvel Comics,Mutant,Mutant,,23,14,275 lb // 124 kg,0,0,0,,,,,,,,
Annihilus,"The Living Death That Walks, Lord of the Negative Zone",bad,64,56,Green,Annihilus,male,No Hair,5'11 // 180 cm,75,-,"Planet of Arthros, Sector 17A, Negative Zone",59,Marvel Comics,-,Unknown,,47,80,200 lb // 90 kg,-14.175278,-169.6775,0.8,place,,,Ofu,AS,Manu'a District,96799,US
Blob,-,bad,72,95,Brown,Frederick J. Dukes,male,Brown,5'10 // 178 cm,10,Fred,"Lubbock, Texas",26,Marvel Comics,-,Unknown,,23,83,510 lb // 230 kg,33.588771,-101.850445,1,place,,,Lubbock,TX,Lubbock County,79401,US
X-Man,Nate the Great,good,84,95,Blue,Nate Grey,male,Brown,5'9 // 175 cm,88,-,American Northeast of Earth-295,100,Marvel Comics,-,Unknown,,53,53,135 lb // 61 kg,36.661662,-119.37477,1,street_center,,E American Ave,Reedley,CA,Fresno County,93654,US
Cottonmouth,Quincy McIver,bad,25,10,Brown,Burchell Clemens,male,Black,6'0 // 183 cm,50,-,-,27,Marvel Comics,Human,Human,,8,10,220 lb // 99 kg,0,0,0,,,,,,,,
Watcher,-,good,56,89,-,Uatu,male,-,- // 0 cm,100,-,-,100,Marvel Comics,-,Unknown,,67,80,- lb // 0 kg,0,0,0,,,,,,,,
Diamondback,-,bad,60,28,Brown,Willis Stryker,male,Black,6'4 // 193 cm,44,-,-,45,Marvel Comics,Human,Human,,23,16,200 lb // 90 kg,0,0,0,,,,,,,,
Quicksilver,"Pietro Frank, Gypsy Davey, Mateo Maximoff",good,56,60,Blue,Pietro Django Maximoff,male,Silver,6'0 // 183 cm,63,-,"Wundagore Mountain, Transia (in Eastern Europe)",52,Marvel Comics,Mutant,Mutant,,100,28,175 lb // 79 kg,30.077742,-95.173715,0.6,street_center,,Windy Gorge Ct,Humble,TX,Harris County,77345,US
Polaris,"Pestilence, formerly Malice, Polarity, Magnetrix, M-2, Magneto the Second",good,45,50,Green,Lorna Sally Dane,female,Green,5'7 // 170 cm,63,-,Northern California,100,Marvel Comics,Mutant,Mutant,,42,73,115 lb // 52 kg,35.187133,-117.885359,0.67,place,,,California City,CA,Kern County,93504,US
Venom-III,Scorpion,bad,56,90,Brown,MacDonald Gargan,male,Brown,7'6 // 229 cm,63,-,-,73,Marvel Comics,Symbiote,Alien,,35,73,742 lb // 334 kg,0,0,0,,,,,,,,
John-Wraith,"Wraith-Man, Kestrel, Expediter, Guardian, Vindicator",good,80,28,Brown,John Wraith,male,Black,6'0 // 183 cm,75,-,-,87,Marvel Comics,-,Unknown,,35,12,195 lb // 88 kg,0,0,0,,,,,,,,
Electro,-,bad,64,56,Blue,Maxwell Dillon,male,Auburn,5'11 // 180 cm,69,Max,-,67,Marvel Comics,Human,Human,,50,10,165 lb // 74 kg,0,0,0,,,,,,,,
Blackout,-,bad,65,80,Red,-,male,White,6'3 // 191 cm,63,-,-,45,Marvel Comics,Demon,God,White,45,32,230 lb // 104 kg,0,0,0,,,,,,,,
Agent-Zero,Maverick,good,95,80,-,Christoph Nord,male,-,6'3 // 191 cm,75,-,Unrevealed location in former East Germany,72,Marvel Comics,-,Unknown,,38,28,230 lb // 104 kg,0,0,0,,,,,,,,
Moses-Magnum,"Magnum Force,",bad,56,42,Brown,Moses Magnum,male,Black,5'9 // 175 cm,75,-,-,55,Marvel Comics,-,Unknown,,12,28,159 lb // 72 kg,0,0,0,,,,,,,,
Red-Skull,"Dell Rusk, Bettman P. Lyles, the Agent of a Thousand Faces, The Man, Cyrus Fenton, Teacher, Tod March, John Smith, Aleksander Lukin.",bad,80,14,Blue,Johann Shmidt,male,No Hair,6'2 // 188 cm,75,-,An unidentified village in Germany,19,Marvel Comics,-,Unknown,,12,10,240 lb // 108 kg,0,0,0,,,,,,,,
Proto-Goblin,Green Goblin,bad,28,48,Green,Nels Van Adder,male,Blond,- // 0 cm,63,-,-,22,Marvel Comics,-,Unknown,,23,38,- lb // 0 kg,0,0,0,,,,,,,,
Husk,Hayseed,good,64,78,Blue,Paige Elisabeth Guthrie,female,Blond,5'7 // 170 cm,63,-,"Cumberland, Kentucky",48,Marvel Comics,Mutant,Mutant,,35,63,128 lb // 58 kg,36.97815,-82.9885,1,place,,,Cumberland,KY,Harlan County,40823,US
Lizard,-,bad,56,70,Red,Curtis Connors,male,No Hair,6'8 // 203 cm,50,-,"Coral Gables, Florida",63,Marvel Comics,Human,Human,,27,51,510 lb // 230 kg,28.053073,-82.742879,0.53,place,,,Curlew,FL,Pinellas County,33515,US
Kraven-the-Hunter,"Kraven the Hunter, World's Greatest Hunter, the Grim Hunter",bad,85,42,Brown,Sergei Kravinoff,male,Black,6'0 // 183 cm,63,-,"Volgograd (formerly Stalingrad), Russia",25,Marvel Comics,Human,Human,,35,32,235 lb // 106 kg,40.23449,-84.40939,1,place,,,Russia,OH,Shelby County,45363,US
Legion,"Jack Wayne, Cyndi, Jemail Karami, Daniel Lucas Haller, Daniel Haller, Rodney, Ian, Lucas, Fanya, Boris, Zachary, Sylvester, God-Mutant",good,75,30,Green / Blue,David Charles Haller,male,Black,5'9 // 175 cm,50,-,Israel,100,Marvel Comics,Mutant,Mutant,,42,100,130 lb // 59 kg,39.318153,-79.810901,0.8,place,,,Israel,WV,Preston County,26444,US
Hyperion,Mark Milton,good,80,95,Blue,-,male,Red,6' // 183 cm,81,-,-,71,Marvel Comics,-,Unknown,,75,100,460 lb // 207 kg,0,0,0,,,,,,,,
Dazzler,"Ali, The Disco Dazzler, Songbird, Dazz, Kimberly Schau, Ally",good,55,60,Blue,Alison Blaire,female,Blond,5'8 // 173 cm,63,-,"Gardendale, Long Island, New York",100,Marvel Comics,Mutant,Mutant,,33,10,115 lb // 52 kg,29.521675,-98.56546,0.6,street_center,,Gardendale,San Antonio,TX,Bexar County,78229,US
Tiger-Shark,Arlys Tigershark,bad,28,70,Grey,Todd Arliss,male,No Hair,6'1 // 185 cm,38,-,"Pasadena, California",51,Marvel Comics,Human,Human,Grey,46,72,450 lb // 203 kg,33.786594,-118.298662,1,place,,,Pasadena,CA,Los Angeles County,91050,US
Scorpion,"Venom, Spider-Man",bad,80,85,Brown,MacDonald Gargan,male,Brown,6'11 // 211 cm,50,Mac,-,49,Marvel Comics,Human,Human,,60,52,689 lb // 310 kg,0,0,0,,,,,,,,
Hybrid,"Guardsman Number Six, Terror of Brooklyn, Riot ,Phage , Lasher, Agony",good,80,75,Brown,-,male,Black,5'9 // 175 cm,63,-,"Bedford-Stuyvesant, Brooklyn, New York City",100,Marvel Comics,Symbiote,Alien,,58,63,172 lb // 77 kg,40.730869,-74.00446,1,street_center,,Bedford St,New York,NY,New York County,10014,US
Firelord,Nova Centurion,good,28,90,White,Pyreus Kril,-,Yellow,6'4' // 193 cm,38,-,"Xander, planet in Tranta System, Andromeda Galaxy",48,Marvel Comics,-,Unknown,,75,63,220 lb // 99 kg,42.691033,-83.997654,0.6,street_center,,S Center Dr,Howell,MI,Livingston County,48855,US
Silver-Surfer,-,good,32,90,White,Norrin Radd,male,No Hair,6'4 // 193 cm,56,"Skyrider, Sentinel of the Spaceways, Silverado, Chrome Dome",Zenn-La,100,Marvel Comics,Alien,Alien,Silver,100,100,225 lb // 101 kg,0,0,0,,,,,,,,
Ms-Marvel-II,She-Thing,good,56,84,Blue,Sharon Ventura,female,Red,5'8 // 173 cm,38,-,"Pullman, Washington",11,Marvel Comics,-,Unknown,,23,63,135 lb // 61 kg,46.730331,-117.218027,1,place,,,Pullman,WA,Whitman County,99163,US
Human-Torch,"Matchstick Johnny, Doug Brown",good,42,70,Blue,Jonathan Lowell Spencer Storm,male,Blond,5'10 // 178 cm,63,Johnny,"Glenville, Long Island, New York",84,Marvel Comics,Human / Radiation,Human,,63,11,170 lb // 77 kg,42.701227,-82.746577,0.6,street_center,,Glenville,New Baltimore,MI,Macomb County,48047,US
Nick-Fury,"Doyle, The Mystery in the Mask, Patch, Scorpio",good,100,42,Brown,Nicholas Joseph Fury,male,Brown / White,6'1 // 185 cm,75,-,New York City,25,Marvel Comics,Human,Human,,23,11,221 lb // 99 kg,40.68863,-74.018244,1,place,,,New York,NY,New York County,10004,US
Doctor-Doom,"The Master, Invincible Man",bad,84,100,Brown,Victor von Doom,male,Brown,6'7 // 201 cm,100,-,"Haasenstadt, Latveria",100,Marvel Comics,Human,Human,,20,32,415 lb // 187 kg,0,0,0,,,,,,,,
Century,-,good,100,64,White,-,male,White,6'7 // 201 cm,88,-,-,100,Marvel Comics,Alien,Alien,Grey,53,80,215 lb // 97 kg,0,0,0,,,,,,,,
Blink,-,good,64,28,Green,Clarice Ferguson,female,Magenta,5'5 // 165 cm,50,-,Bahamas,77,Marvel Comics,Mutant,Mutant,Pink,20,8,125 lb // 56 kg,0,0,0,,,,,,,,
Gamora,"The Deadliest Woman In The Universe, The Most Dangerous Woman in the Galaxy",good,100,85,Yellow,Gamora Zen Whoberi Ben Titan,female,Black,6'0 // 183 cm,75,-,"Planet Zen Whoberi, Silican System, Milky Way",53,Marvel Comics,Zen-Whoberian,Alien,Green,42,85,170 lb // 77 kg,32.268672,-112.738759,0.9,place,,,Why,AZ,Pima County,85321,US
Archangel,"War, Dark Angel, Death, Avenging Angel",good,42,64,Blue,Warren Kenneth Worthington III,male,Blond,6'0 // 183 cm,63,-,"Centerport, Long Island, New York",35,Marvel Comics,Mutant,Mutant,Blue,58,13,150 lb // 68 kg,28.43055,-81.333947,0.6,street_center,,Centerport St,Orlando,FL,Orange County,32827,US
Exodus,Paris Bennet,bad,70,28,Blue,Bennet du Paris,male,Black,6'0 // 183 cm,63,-,-,100,Marvel Comics,Mutant,Mutant,Red,28,81,195 lb // 88 kg,0,0,0,,,,,,,,
X-23,"Talon, Laura X, Laura Howlett, Captain Universe",good,85,90,Green,Laura Kinney,female,Black,5'6 // 168 cm,75,-,"The Facility, location unrevealed",38,Marvel Comics,-,Unknown,,35,24,147 lb // 66 kg,37.003203,-76.377723,0.9,place,,,Wythe,VA,Hampton city,23661,US
Thunderstrike,Thor,good,72,84,Blue,Eric Kevin Masterson,male,Blond,6'6 // 198 cm,63,-,-,42,Marvel Comics,-,Unknown,,70,80,640 lb // 288 kg,0,0,0,,,,,,,,
Gravity,Protector of the Universe,good,30,40,Blue,Greg Willis,male,Brown,5'10 // 178 cm,50,-,"Sheboygan, Wisconsin",67,Marvel Comics,Human,Human,,33,32,175 lb // 79 kg,43.71011,-87.735217,1,place,,,Sheboygan,WI,Sheboygan County,53081,US
Gladiator,"Majestor, Praetor, Captain Universe",neutral,70,100,Blue,Kallark,male,Blue,6'6 // 198 cm,50,-,-,73,Marvel Comics,Strontian,Inhuman,Purple,100,100,595 lb // 268 kg,0,0,0,,,,,,,,
Star-Lord,Starlord,good,70,50,Blue,Peter Jason Quill,male,Blond,6'2 // 188 cm,69,-,-,25,Marvel Comics,Human-Spartoi,Human,,33,20,175 lb // 79 kg,0,0,0,,,,,,,,
Thor,"Donald Blake, Sigurd Jarlson, Jake Olsen, Donar the Mighty",good,100,100,Blue,Thor Odinson,male,Blond,6'6 // 198 cm,69,-,Asgard,100,Marvel Comics,Asgardian,Human,,83,100,640 lb // 288 kg,0,0,0,,,,,,,,
Agent-Bob,"Bob, agent of Hydra, Bob, agent of A.I.M",good,20,5,Brown,Bob,male,Brown,5'10 // 178 cm,10,-,-,5,Marvel Comics,Human,Human,,13,8,181 lb // 81 kg,0,0,0,,,,,,,,
Utgard-Loki,-,bad,64,84,Blue,-,male,White,50'0 // 15.2 meters,50,-,Jotunheim,80,Marvel Comics,Frost Giant,Alien,,23,80,128000 lb // 58 tons,0,0,0,,,,,,,,
Fin-Fang-Foom,He Whose Limbs Shatter Mountains and Whose Back Scrapes the Sun (translation),good,70,100,Red,-,male,No Hair,32'0 // 975 cm,50,-,-,75,Marvel Comics,Kakarantharaian,Inhuman,Green,23,81,40000 lb // 18 tons,0,0,0,,,,,,,,
Demogoblin,Jason Macendale Jr,bad,60,35,Red,-,male,No Hair,6'1 // 185 cm,50,-,-,62,Marvel Comics,Demon,God,,42,48,210 lb // 95 kg,0,0,0,,,,,,,,
Blade,"Switchblade, Frank Blade, Daywalker",good,90,50,Brown,Eric Brooks,male,Black,6'2 // 188 cm,63,-,"Soho, London,England",40,Marvel Comics,Vampire,Inhuman,,38,28,215 lb // 97 kg,34.54426,-91.96903,1,place,,,England,AR,Lonoke County,72046,US
Professor-X,"Prof, Dr. X, Professor Xavier, formerly Prisoner M-13",good,32,14,Blue,Charles Francis Xavier,male,No Hair,6' // 183 cm,100,-,"New York, New York",100,Marvel Comics,Mutant,Mutant,,12,8,190 lb // 86 kg,40.68863,-74.018244,1,place,,,New York,NY,New York County,10004,US
Songbird,"Screaming Mimi, Mimi Schwartz, Margie Green",good,56,42,Green,Melissa Joan Gold,female,Red / White,5'5 // 165 cm,75,-,"Shoshoni, Wyoming",55,Marvel Comics,-,Unknown,,27,36,145 lb // 65 kg,41.195479,-105.84162,0.8,place,,,Wyoming,WY,Albany County,82070,US
Box-IV,"Gemini, Jack-In-The-Box",good,56,28,Brown,Madison Jeffries,-,Brown / Black,- // 0 cm,50,-,Place of birth unknown,11,Marvel Comics,-,Unknown,,23,75,- lb // 0 kg,30.332978,-81.404091,1,street_center,,Plaza St,Atlantic Beach,FL,Duval County,32233,US
Medusa,"Madam Medusa, Queen Medusa",good,56,70,Green,Medusalith Amaquelin Boltagon,female,Red,5'11 // 180 cm,75,-,"Island of Attilan, Atlantic Ocean",37,Marvel Comics,Inhuman,Inhuman,,35,34,130 lb // 59 kg,41.25648,-74.35988,0.33,place,,,Warwick,NY,Orange County,10990,US
Scarlet-Spider-II,"Tarantula, Kaine, Araͱa Escarlata",good,56,40,Brown,Kaine Parker,male,Brown,6'4 // 193 cm,88,-,-,37,Marvel Comics,Clone,Inhuman,,60,55,250 lb // 113 kg,0,0,0,,,,,,,,
Abomination,"Agent R-7, Ravager of Worlds",bad,95,90,Green,Emil Blonsky,male,No Hair,6'8 // 203 cm,63,-,"Zagreb, Yugoslavia",62,Marvel Comics,Human / Radiation,Human,,53,80,980 lb // 441 kg,0,0,0,,,,,,,,
Domino,"Dom, Samantha Wu, Tamara Winter, Elena Vladescu, Jessica Marie Costello, Luisa Mendoza, Beatrice, Christina Elizabeth Alioso, Priscilla Sutherland, Hope Eldridge",good,74,28,Blue,Neena Thurman,female,Black,5'8 // 173 cm,63,-,"Project: Armageddon base, Everglades, Florida",49,Marvel Comics,Human,Human,White,27,10,120 lb // 54 kg,25.857659,-81.386157,0.8,place,,,Everglades,FL,Collier County,33929,US
Rhino,"Alex O'Hirn, Mecha-Rhino",bad,85,90,Brown,Aleksei Mikhailovich Sytsevich,male,Brown,6'5 // 196 cm,25,-,-,36,Marvel Comics,Human / Radiation,Human,,43,80,710 lb // 320 kg,0,0,0,,,,,,,,
Wasp,Pixie,good,42,52,Blue,Janet Van Dyne,female,Auburn,5'4 // 163 cm,63,-,"Cresskill, New Jersey",29,Marvel Comics,Human,Human,,58,17,110 lb // 50 kg,40.94149,-73.9593,1,place,,,Cresskill,NJ,Bergen County,7626,US
Callisto,-,bad,85,42,Blue,Callisto,female,Black,5'9 // 175 cm,63,-,-,52,Marvel Comics,-,Unknown,,23,53,165 lb // 74 kg,0,0,0,,,,,,,,
Sentry,"Void, Bob, Golden Guardian of Good, John Victor Williams, Scout",neutral,40,84,Blue,Robert Reynolds,male,Blond,6'2 // 188 cm,75,-,-,100,Marvel Comics,Mutant,Mutant,,100,100,194 lb // 87 kg,0,0,0,,,,,,,,
Spider-Woman-III,-,good,28,42,Brown,Martha Franklin,female,Brown,5'8 // 173 cm,50,Mattie,"Rochester, New York",60,Marvel Comics,-,Unknown,,27,48,123 lb // 55 kg,43.286024,-77.684264,1,place,,,Rochester,NY,Monroe County,14601,US
Silverclaw,"La Garra Argentado, Daughter of the Volcano God,",good,42,42,Brown,Maria de Guadalupe Santiago,female,Black,5'2 // 157 cm,50,-,"The village of Kamekeri, Costa Verde",34,Marvel Comics,-,Unknown,,35,28,110 lb // 50 kg,37.98264,-76.96136,0.33,place,,,Caret,VA,Essex County,22436,US
Psylocke,"Betsy, Captain Britain, Lady Mandarin",good,90,40,Blue,Elizabeth Braddock,female,Purple,5'11 // 180 cm,63,-,"Braddock Manor, England",100,Marvel Comics,Mutant,Mutant,,25,33,155 lb // 70 kg,34.54426,-91.96903,1,place,,,England,AR,Lonoke County,72046,US
Venom,-,bad,84,84,Blue,Edward Charles Allan Brock,male,Strawberry Blond,6'3 // 191 cm,75,-,"New York, New York",86,Marvel Comics,Symbiote,Alien,,65,57,260 lb // 117 kg,40.68863,-74.018244,1,place,,,New York,NY,New York County,10004,US
Rogue,"Anna Raven, Doctor Kellogg, Mutate 9602, Irene Adler, Miss Smith",good,80,28,Green,Anna Marie,female,Brown / White,5'8 // 173 cm,75,-,"Caldecott County, Mississippi",80,Marvel Comics,-,Unknown,,12,10,120 lb // 54 kg,38.661571,-121.134484,0.6,street_center,,Caldicot Ct,Folsom,CA,Sacramento County,95630,US
Captain-Britain,"Britannic, Black Bishop, Jungle Man, King of Otherworld, Merlinson",good,80,60,Blue,Brian Braddock,male,Blond,6'6 // 198 cm,75,-,"Braddock Manor, England",31,Marvel Comics,Human,Human,,50,77,257 lb // 116 kg,34.54426,-91.96903,1,place,,,England,AR,Lonoke County,72046,US
Phoenix,"Redd Dayspring, Marvel Girl",good,70,100,Green,Jean Grey-Summers,female,Red,5'6 // 168 cm,100,-,-,100,Marvel Comics,Mutant,Mutant,,67,80,115 lb // 52 kg,0,0,0,,,,,,,,
A-Bomb,Rick Jones,good,64,80,Yellow,Richard Milhouse Jones,male,No Hair,6'8 // 203 cm,38,-,"Scarsdale, Arizona",24,Marvel Comics,Human,Human,,17,100,980 lb // 441 kg,0,0,0,,,,,,,,
Sasquatch,"Box, Wanda Langkowski",good,42,56,Red,Walter Langkowski,male,Orange,10' // 305 cm,75,-,"Edmonton, Alberta, Canada",15,Marvel Comics,-,Unknown,,23,80,2000 lb // 900 kg,53.55014,-113.46871,1,place,,,Edmonton,AB,,,CA
Mimic,"Cal, Wolverine, Calvin Rankin",good,42,56,Brown,Calvin Montgomery Rankin,male,Brown,6'2 // 188 cm,63,-,"Passiac, New Jersey",79,Marvel Comics,-,Unknown,,47,67,225 lb // 101 kg,41.514237,-72.740802,0.6,street_center,,Passiac Rd,Middlefield,CT,Middlesex County,6455,US
Klaw,-,bad,60,100,Red,Ulysses Klaw,male,No Hair,6'2 // 188 cm,63,-,"Vlaardingen, Netherlands",62,Marvel Comics,Human,Human,Red,33,38,216 lb // 97 kg,36.299233,-89.751194,0.8,place,,,Netherlands,MO,Pemiscot County,63851,US
Scorpia,-,bad,28,28,Green,Elaine Coll,female,Red,- // 0 cm,38,-,-,34,Marvel Comics,-,Unknown,,42,28,- lb // 0 kg,0,0,0,,,,,,,,
Vindicator,Guardian,good,70,64,Green,Heather McNeil Hudson,female,Red,5'5 // 165 cm,63,-,"Calgary, Alberta, Canada",56,Marvel Comics,Human,Human,,53,63,120 lb // 54 kg,51.05011,-114.08529,1,place,,,Calgary,AB,,,CA
Invisible-Woman,Invisible Girl,good,56,85,blue,Susan Storm Richards,female,Blond,5'6 // 168 cm,88,-,"Glenville, Long Island, New York",93,Marvel Comics,Human / Radiation,Human,,27,10,120 lb // 54 kg,42.701227,-82.746577,0.6,street_center,,Glenville,New Baltimore,MI,Macomb County,48047,US
Leech,-,good,14,14,-,-,male,-,- // 0 cm,25,-,-,62,Marvel Comics,-,Unknown,,12,5,- lb // 0 kg,0,0,0,,,,,,,,
Thanos,"The Mad Titan, Masterlord, The Overmaster, Chins",bad,80,100,Red,Thanos,male,No Hair,6'7 // 201 cm,100,-,Titan,100,Marvel Comics,Eternal,God,Purple,33,100,985 lb // 443 kg,39.750471,-84.268593,0.67,place,,,Dayton,OH,Montgomery County,45401,US
Wonder-Man,"Wondie, JQ-272712-K",good,64,90,Red,Simon Williams,male,Black,6'2 // 188 cm,75,-,"Paterson, New Jersey",64,Marvel Comics,-,Unknown,,53,100,380 lb // 171 kg,40.911999,-74.170965,1,place,,,Paterson,NJ,Passaic County,7501,US
